text	split	label
زنان کابل یکشنبه دی ماه اعتراض بازداشت فیض‌الله جلال استاد دانشگاه کابل خیابان امدند زنان صدای فیض‌الله جلال صدای خواندند حذف صدای ناممکن دانستند افغانستان طالبان فیض_الله_جلال زنان تجمع_اعتراضی کابل ایندیپندنت_فارسی	train	social
ارایه انواع مژه مژه اکستنشن_مژه کاشتمژه کاشت_مژه مژه_ مژه_دایم مژه_کاشت مژه_بلند مژه_سه_بعدی مژه_موقت چشم_زیبا مژه_کلاسیک مژه_والیوم مژه_زیبا مژه_ابریشمی مژه_تارتار مژه_ سالن سالنزیبایی زیبایی بلوار_فردوس_غرب سالن_زیبایی_ن	train	lifestyle
نظرسنجی نشریه بیلد المان میدهد امار کرونایی اعتماد نه_به_واکسن_اجباری	train	health
شلف چوب نراد روسی درجه ابعاد سفارشی قیمت ثبت سفارش خاص خریدانلاین پرداخت_درب_منزل ارسال_رایگان همدان تلگرام همدان	train	lifestyle
موافقت کمیته علمی کرونا تزریق دز سال دبیر کمیته علمی ستاد کرونا کشور اعضای کمیته علمی کشوری کرونا جلسه تزریق دز واکسن کرونا بالاتر سال کشور تاکید	train	health
مشتاقم دلبر دیدارت دوری براید دلم اهی بسوزد دریا سعدی	train	art
مسعود_رجوی امار جانباختگان کرونای ولایت میهن اشغال‌شده نیم‌میلیون خیزش‌های کرونا	train	health
عیب رندان مکن زاهد پاکیزه سرشت گناه دگران نخواهند_نوشت نیکم گر برو درود کار کشت تسلیم خشت میکده‌ها مدعی گر فهم سخن خشت ناامیدم مکن سابقه لطف ازل پرده دانی زشت حافظ	train	art
ویژگی‌ مهم دوره تحریم رکود اقتصادی محدودیت سمت عرضه تولید کالاها جمله خودرو نزولی روند صدور پروانه‌های_ساختمانی نزولی واردات خودرو اقلام ممنوع سقوط ازاد صادرات تبع عرضه دلار بورس سهم فروشنده تقدیم میکنه	train	economics
یکشنبه بهمن‌ماه معلمان فرهنگیان کشور دومین اعتصاب ادامه محل کار تحصن کرده‌اند شهرهایی تحصن شنبه بهمن معلمان فرهنگیان شرکت اصفهان تهران یزد	train	education
نقشی کرونا پیشرفت هنرهای اشپزی کلاس اشپزی می‌تونست فکرشو می‌کرد ویروس باعث بانی شکوفایی هنرهای اشپزی ملت بشه ؟!	train	lifestyle
مریض بردیم شهید محمدی یهو دیدیم دارن فرار میکنن زلزله	train	ecology
استان‌های کشور به‌جز مازندران گیلان دچار فرونشست شده_است معاون وزیر صمت بیان ابی زمین فرو اب استخراج متناسب امر باعث پدیده فرونشست کشور به‌جز استان‌های گیلان مازندران شده_است	train	ecology
نمیشه پا میونی بازم بریزه	train	tech
نظر سطح دغدغه نمایندگان_مجلس معیشت ایران موضوع مهمی رسانه‌های عربی سخره !؟ رتبه‌های فقر فلاکت غمگین ایران اذیتتون نمی‌کنه ؟! مجلس	train	social
امار حمایت تاجیا گذشت استقلال	train	sport
قصابی محله رییسی گوشت ارزون بفروشه تورم	train	economics
شنبه دی بازار_ازاد دلار_نیوزیلند قیمت ریال مبادله	train	economics
جزییات محاسبه پرداخت سهمیه بنزین اژانس تاکسی اینترنتی تاکسی_اینترنتی اسنپ	train	transport
خونه تون کوچه تنگ باریکه لوکیشن اسنپ پذیرایی نزن راننده اسنپ‌ بال نداره پرواز فرهنگسازی اسنپ راننده_اسنپ	train	transport
معلمان ازاده ایران خط مرگ خط فقر برسیم حقوقهزار تومان خط فقر منابع حکومتی تامیلیون تومان خط مرگ روز_جهانی_معلم	train	education
صبوحی زده_ام خرقه حرام مجلسیان خرابات سعدی	train	art
مارتینلی عشق خودمی لقب گابی گل سزاوارته بینظیره پسر ارسنال	train	sport
شهریور تجمع کارنامه‌سبزهای ساعت صبح جمع زیادی معلمان موسوم کارنامه سبز وزارت اموزش پرورش رژیم هفتمین متوالی تجمع اعتراضی زدند شعارها مجلس دولت نیستن ملت مسول کفایت عامل خوار خفت	train	education
دل پریشان هوایت هوا نسیم سامرایت پا خیز شکوه افرینش برخیزد عالم پایت اللهم_عجل_لولیک_الفرج	train	religion
ریزش واحدی شاخص بورس شاخص بازار بورس تهران پایان معاملات واحد افت عدد واحد بورس دستوری اجزای اقتصاد تابع نظام قدرتمند عرضه تقاضاست	train	economics
حفظ محیط_زیست حفظ اینده تفکیک_زباله کمک اینده کمک کودکان_کار کمک ایندگان	train	ecology
سلام امام زمانم وارث ذولفقار مولا برگرد نور چشم ال طاها برگرد ماشعله شعله سوختیم غم یاس منتقم حضرت زهرا برگرد یافاطربحق‌فاطمه‌عجل‌لولیک‌الفرج اللهم_عجل_لولیک_الفرج اللهم صل علی محمد وال محمد وعجل فرجهم	train	religion
انجمن امریکایی متعلق سرمایه گذاران رمزارز قصد زودی تیم انگلیسی خریداری کریپتوکارنسی بیتکوین رمزارز	train	tech
اقا اجازه ؟؟؟ هرچی گشتم خدا نکردم بگید منم بزنه هرچی گشتم صدا زدم التماسش اقااجازه گرفتاری خدا درد	train	religion
پوشش سرکار خانم مریلا_زارعی ادوار جشنواره فیلم فجر شخصیت خانوادگی تربیت بابت حجاب ممنویم خانم زارعی تن ادمی شریف جان ادمیت لباس زیباست ادمیت مریلا_زارعی حجاب	train	social
دختر مهریه‌ سفر کربلا بنویسه سال بگی بریم مهریه‌ت کربلا امام_حسین عشق ازدواج	train	religion
پیشنهاد قانونی تصویب شودکه حقوق مسیولین دولت ومجلس باحقوق فرهنگیان ومعلمان همتراز قانون فوایدزیادی خلق پول میشودونه تورم ایجاد میشود مسیولین بعداز زندگی اشرافی شاهانه زندگی زیرخط فقررایاد گیرندوبراحتی توانندازحل مشکلات فرارکنند	train	education
هرگزم نقش لوح دل جان نرود یاد سرو خرامان نرود دماغ سرگشته خیال دهنت جفای فلک غصه دوران نرود حافظ	train	art
علت افزایش غلظت الاینده‌های جوی شرایط ناسالم مدارس دولتی غیردولتی شهری روستایی نواحی پنجگانه شهر تبریز تعطیل الودگی_هوا	train	ecology
اثبات وجودسلولهای سقط جنین درواکسن ممنوعه فایزر مقام فایزر پروژه اعتراف واکسن‌های کووید حاوی سلول‌های سقط نوزاد نه_به_واکسن_اجباری	train	health
استوری سفارشی بدترین مدیر مدیر هوادار افسارش بازیکن مربی مربی مدیریت اوکی مصاحبه مدیریت مشکل پرسپولیس مدیر نداره حرفای مربی دوتا وعده پاداش حاضرین پرسپولیس فنا بره ادما قیمت دارن	train	sport
نمونه مدیران جوان_و_انقلابی سرپرست کتابخانه‌های_عمومی_کشور مجری می‌خواهد کتاب جوانان معرفی کتاب معرفی می‌کند می‌گوید خاطر کتابخوانی مهدی_رمضانی	train	art
خار غم عشقت اویخته دامن کوته نظری رفتن گلستان‌ها سعدی	train	art
سپاس امین‌کلیبر توییت شک گمان یقین سطوح پوشیده درخت اتش زمین‌های پاک‌تراش !!!! ارسباران کلیبر قره‌داغ	train	ecology
مشکلات طریقت عنان متاب دل مرد نیندیشد نشیب فراز حافظ	train	art
موقعیت لای پنجره بازه ته گلوم میخواره قرار اومیکرون	train	health
میدانید طبق ماده قانون هدفمندی یارانه‌ها مصوب قیمت بنزین ایران نسبتی فوب خلیج‌فارس اینصورت حاشیه سود قاچاق لیتر تومن میرسه واسه فضا جون واسه دروغه بنزین تومنی	train	economics
بی‌تو فراخای جهان تنگ فخرست ننگ صلحیم جنگ اخر بنگویی دلست سنگ سعدی	train	art
فرو غم عشقت دمم می‌دهی دمار براوردی نمی‌گویی براوردم حافظ	train	art
دولت بدهی حمل‌ونقل عمومی تهران پرداخت نکرده_است هاشمی شهرداری تلاش سهم دولت حمل‌ونقل_عمومی مصوبات ستاد ملی کرونا مترو اتوبوسرانی دولت تقاضاکند دولت سوبسیدهای قبلی پرداخت	train	transport
عهدیست جانان جان بدن هوا خواهان کویش جان اللهم_عجل_لولیک_الفرج	train	religion
می‌کنید فیلم خوبیه توصیه خانواده بلیه ببینید کودا اقتباس امریکایی فیلم فرانسوی مقایسه خانواده بلیه ببینید کودا فراموش	train	art
بیانیه تحلیلی شورای هماهنگی تشکل‌های صنفی فرهنگیان نحوه ادامه مطالبه گری اعتراضات معلمان	train	education
حقوق بشر حقوق انسانها ازمردم ایران روز_جهانی_حقوق_بشر زندانی_سیاسی	train	social
فقیری مال زکات قبول روایت صحیح امده مالک المالیعنی صاحب مال یقبل الزکه اغنای تقدیم تقدیم رغبتی اللهم_عجل_لولیک_الفرج	train	religion
تاریخچه اپل داستان استیو جابز شرکتی تاسیس عظیم جامع تاریخچه اپل ریشه دهه خروج جابز بازگشت اپل برد داستان اپل دنبال	train	tech
میدونستیدانقلاب اسلامی ایمه منتظرش بودندو ازاین اتفاق خبرداده جزا مقدمات ظهورحضرت مهدی عجل تعالی فرجه الشریف ؟؟ وتاقیام حضرت پابرجاخواهدماند ظهورنزدیک_است اللهم_عجل_لولیک_الفرج	train	religion
بازی مث تدارکاتی تیم مث بعضیا لیگ دویی بریم پرسپولیس	train	sport
عجیبه برام افرادی مدافع حقوق زن هستن دنبال رفع محدودیتهای فیزیکی پوششی هستن اشاره قوانین مدنی اجتماعی ضد زن نمیکنن !!!	train	social
حضرت فاطمهس شنیدم پیامبر اکرمص می‌فرمودند جمعه ساعتی مراقبت دعا دعایش مستجاب ازخورشید غروب کرده_باشد معانی الاخبار دعایی بالاتر فرج مولایمان سبب فرج اللهم_عجل_لولیک_الفرج	train	religion
استاندار تهران ستاد مقابله مدیریت ویروس کرونای استان لغو طرح_ترافیک اصرار شهرداری پایتخت تمکین نمی‌کندایرنا	train	transport
معاون سیاسی امنیتی اجتماعی استانداری هرمزگان کاهش چشمگیر ابتلا بستری مرگ میر بیماران مبتلا کرونا هرمزگان حفظ رعایت شیوه نامه بهداشتی ضروری کرونا ایران_قوی	train	health
کنشگران هشدار داده‌اند قاضی زن مخفیگاه‌هایشان افغانستان افتاده‌اند خطر کشته طالبان مواجه‌اند حالی طالبان هزاران زندانی ازاد کرده‌است	train	social
سلام‌ امام‌ زمانم این‌جا ایستاده‌ایم نهایت استیصال اوج بی‌کسی غرقاب تنهایی این‌جا ایستاده‌ایم گرداب ناامیدی طوفان بی‌قراری سیلاب اضطراب این‌جا ایستاده‌ایم امدن نجاتمان می‌دهد زنده‌مان می‌دارد اللهم_عجل_لولیک_الفرج	train	religion
معرفی ایردراپ رایگان کافیست لینک بزنید تکمیل طبق دستورالعمل لینک نوشته وب سایت ارزدیجیتال ایردراپ_رایگان ارز_دیجیتال بیتکوین	train	tech
مرکز امار ایران ازدواج دختران چهارده ساله بهار درصد افزایش ازدواج بهار ایران	train	social
اجازه ازدواج پدر اجازه طلاق شوهر حلال حرام اخوند مهریه خانواده دین اسلام زن بهشت پایش احترام قایل ازدواج کودک_همسری	train	social
توسعه منجلاب_واقعیت بپذیریم رفع مشکلات تن دانش اقدام بدهیم دانشگاه‌ها جامعه فرهنگ وصل پژوهشکده‌ها مجیزگویی خارج فقر بی_اعتمادی نگرانی اینده واقعیت	train	social
دوستان هرچی امار مقایسه حس عملکرد دولت ایران مهار دارن امار دوروغ میکنن تعداد فوتی نفر کرونا کویید_	train	health
یادداشتی نقش دولت جشنواره فجر توقعات نبریم فجر جشنواره_فیلم_فجر لینک مطلب	train	art
عرضه خودرو بورس نهایی عشقی رییس سازمان بورس موضوعات مهم رایزنی رابطه عرضه‌ خودرو بورس امادگی موضوع برسانیم	train	economics
دولتی همکاری بخش_خصوصی اقتصاد مدیریت	train	economics
دوستان سعدی دل عشق خلق وقار صلاح بی‌نوایی دیده‌ایم مصلحت بینند کار سعدی مشاعره	train	art
قیمت خودروهای داخلی مونتاژی بازار هفته تومان کاهش یافته_است سعید موتمنی رییس اتحادیه نمایشگاه‌داران فروشندگان خودرو خودرو قیمت_خودرو بازار_خودرو	train	economics
غرب تهرانید منتظر برف شرق تهران راه‌شو کج میاد سمتتون	train	ecology
رفتم دکتر تموم لعنتی امیکرون	train	health
رخ زیبا نظر خطا خطا نبینند زیبا والا سعدی	train	art
‌ورود شیبا اونو صرافی برجسته ترکی شیبا لیست ارزهای خدماتی بزرگترین صرافی‌ ترکیه ارایه مطالعه ارزدیجیتال بیت_کوین سیگنال	train	tech
طبیعت هوایی نو تجربه‌های هیجان‌انگیز زمستانی زندگی جذاب‌تر می‌کند پیشرو هیجان استقبال تغذیه_سالم تحفه تن_ماهی غذا خوشمزه سالم کنسرو غذای_سالم غذای_خوشمزه	train	lifestyle
معرفی_کتاب جالبه راست‌های ایرانی استنادشون رمان‌های جورج_اورول دفاع استدلال‌هاشون عزیزان عجالتا مزرعه حیوانات بخونید سوسیالیسم راست_عمرا_اگر_بفهمد	train	art
تعجب برانگیزه بام حس فتح نداشته_باشی می‌بینی دود چجوری دور تهران چنبر زده فاتحان غمخوار شهرن الودگی_هوا	train	ecology
خورش بادمجان برنج ایرانی ته اشپزی سیزده بدر	train	lifestyle
ریزش واحدی شاخص بورس شاخص بورس ریزش واحدی پایان معاملات عدد واحد شاخص وزن واحد مثبت ارزش معاملات تومان	train	economics
مقامات رسمی ازمایش کووید همسترهای تحویلی مسیولان هنگ کنگ مثبت قلمرو واقع جنوب شرقی اسیا ابتلای نفر ویروس کرونا فروشگاه حیوانات خانگی اقدام بردن همستر	train	health
روزرسانی قیمت دلار سبزه تومان دلار هرات تومان یورو تومان پوند تومان	train	economics
مهدی وارث غربت مادر اللهم_عجل_لولیک_الفرج	train	religion
سلطانیفر استقلال سرخود پارس جنوبی بازی نکرد تقاص پارس جنوبی سقوطش سجادی خودشون تست‌های خودشون ایران مال تایید تعریف جامع مانع تیم_حکومتی	train	sport
ملامتگو دریابد عاشق معشوق نبیند چشم نابینا خصوص اسرار پنهانی حافظ	train	art
مگه برق فرودگاه میره ؟!!!!	train	transport
فراخوان اقدام فوری نجات جان زندانی سیاسی مهران قره‌باغی اطلاعات اخوندی خانواده مهران می‌خواهد وادار مجاهدین همکاری زندانی_سیاسی اعتراضات_سراسری مهران_قره_باغی	train	social
زر زرگر شناسد زهرا علی مادرم_فاطمه پدرم_علی اللهم_عجل_لولیک_الفرج	train	religion
پنجشنبه تکلیف اسیایی استقلال پرسپولیس مشخص کنفدراسیون فوتبال اسیا جلسه رسیدگی درخواست باشگاه ایرانی پرسپولیس استقلال گل گهر سیرجان مبنی صدور مجوز حرفه‌ای ژانویه پنجشنبه دی برگزار	train	sport
اتش_سوزی مهیب استخرهای ذوب اهن محله جعفر اباد زرین شهر جمعه اذر ارسالی اعتراضات_سراسری قیام_اصفهان قیام_تا_سرنگونی	train	ecology
پوست موی_سر ناخن پلاس قابلیت مصرف خوراکی ماسک افتادگی گودی بهبود سرعت رشد موی تقویت ساختار پوست مو تقویت کلاژن جوانسازی ضد	train	lifestyle
کتاب مفهوم هنر پایه‌ای مبانی زندگی اشنا می‌شویم اثر هنری اعمال متفاوت حوادث رویدادها باهم مواجه وحدتی یگانه بی‌بدیل باهم ادغام ویژگی ادامه مطلب سایت ارتسنس مطالعه کتاب	train	art
فصل عیسی ال‌کثیر باشگاه پرسپولیس تایید عیسی_ال‌کثیر مصدومیت ناحیه رباط صلیبی مواجه شده_است توجه دوری ماهه ال‌کثیر بازیکن فصل بیست‌و‌یکم لیگ برتر خواهد_داد	train	sport
خبر ذخیره قهوه‌ام تموم اندازه مصرف تعطیلات خرید کرده_بودم مجبورم قرنطینه بشکونم کرونا زنده بمونم قهوه مطمین	train	lifestyle
انجایی واجد شرایط دریافت سومین دوز واکسن افزایش اومیکرون کانادا احتمال کانادایی واکسن تقویتی دریافت جزییات وبسایت واکسن فایزر	train	health
ورود اومیکرون ایران تایید کمیته علمی کرونا خواستار اعمال قرنطینه اومیکرون کرونا سویه	train	health
زودی حراج باندل ان‌اف‌تی مدل کانسپت اتومبیل سیزتامورودر ساخت کمپانی سیزتا امریکا مارچلو گاندینی راننده لامبورگینی جورجو مورودر اهنگساز موسیقی‌دان الکترودنس تاسیس خودرو مهندسان کارکنان لامبورگینی توسعه داده_شده_است کریپتو	train	tech
طوفان توییتری استقلالی توجه برگزاری جلسه سرنوشت ساز کمیته استیناف خصوص پرونده جعل تقلب بازیکن گلگهر طوفان توییتری اجرای قانون برخورد عوامل جعل حمایت هواداران استقلال حامیان فوتبال پاک برخورد_قاطع_با_جعل_و_فساد استقلال	train	sport
تحصن معلمان شنبه اذر قزوین	train	education
ذرات معلق خطرناکترین الاینده‌های هوا منشا طبیعی دستکاری‌های انسان طبیعت الودگی_هوا	train	ecology
سلام هوس عطر بوی غلیظ قهوه عربی کوچه کوچه کشورهای عربی جنوب کشور پست ندید کلیک قهوه قهوه_عربی دم_اوری_قهوه_عربی کافی_دات_ای_ار	train	lifestyle
فراقت علامت لیست دموع عینی هذا لنا العلامه حافظ حافظ_شیرازی	train	art
قبیله عالمان دین معلم عشق شاعری اموخت عشق شعر	train	art
زمستان صبر طالب نوروز سعدی	train	art
خودکشی نوجوان بلوچ درسرباز دی ماه نوجوان بلوچ روستای کناران شهرستان سرباز خودکشی زندگی خودپایان هویت نوجوان بلوچ محمدصلاحزهیفرزند نورمحمد شده_است تالحظه انتشار خبر ازعلت خودکشی نوجوان بلوچ اطلاعی	train	social
معاملات روزجاری بازارهای جهانی نفت انرژی قیمت نفت_برنت سنت افزایش دلار	train	economics
ارزش معاملات بورس دقیقه چیکار جناب خاب خاندوزی	train	economics
نظرم الانشم تغییر تیم لیگیم بازیکنای تاجیک اضافه شن شیری فرجی برن نیمکت قول میدم بازم مدعی قهرمانیه تیم پرسپولیس	train	sport
کشورهای توسعه جایگاه ویژه‌ای معلم هایشان قایل معلم‌ها نسلی تربیت قرار اینده سکان کشور برعهده معلم‌های کشورمان دریابیم	train	education
امضاکنندگان کارزار خواستار تغییر قانون مهریه احقاق حقوق زنان ازدواج حذف مهریه قرار قانون تصنیف اموال به‌دست‌امده ازدواج بازگشت حقوق ازدست‌رفته زنان طلاق حقوق_زنان حق_طلاق مهریه حقوق_برابر	train	social
پرسپولیس می‌برید یادمان می‌افتد پرسپولیس_تاریخ‌تمدن‌_ایران‌زمین	train	sport
اسنپ عزیز راننده درخواست واریز پول کارتشون دارن میگی واریز نمیکنم کارت انلاین پرداخت تهدید میکنن پیاده ات خانم مصداق خشونت_علیه_زنان تاسف اوره اسنپ	train	transport
زندانی سیاسی پیام_شکیبا زندان کرونا مبتلا درمان محرومش قضاییه_جلادان کرونا بعنوان سلاحی زندانیان سیاسی می‌کند صدای	train	health
سال نقشه عرضه دارا سارا بورس اجرا بشه سهام_عدالت برنامه بورسی اوار بشه شاخص واحد سهم قیمت سال برگشتند شاخص واحد مونده اسمش شاخص_سازی فریبکاری ؟!	train	economics
سلام_امام_زمانم السلام علیک قطب العالم سلام مولایی کاینات مدار می‌چرخد سلام روزی قبله‌ی دلهای اهل عالم خواهی_شد اللهم_عجل_لولیک_الفرج	train	religion
عین اللهی وزیر_بهداشت وضعیت پیک برسد قرنطینه هوشمند ارزشی محدودیت ایجاد امیکرون جدی وضعیت	train	health
منم زن تبریک گن کهیر زنم تبریک گن یاد حقوق میفتم قول بهروز وثوقی فیلم همسفر انگولکمون نذار یاد چیزایی بیفتیم مصبتو شکر روز_زن	train	social
نمایشگاه مجازی کتاب تهران بهمن ادرس کتاب کتاب_بخوانیم	train	art
کنگره امریکا نشستی حضور مدیران ارشد اجرایی رمزارزها برگزار موضوع جلسه مسایل قانونی مربوط استیبل کوین پلتفرم ترید نگرانی ویروس بازار بورس صعودی موضوع نفع رمزارزهاس رمزارزها بورس پیروی بیتکوین	train	tech
_امروز یزد درمانگاه کوچیک واسه پزشک عمومی نفر نوبت عزیزان جوری میره ماسک بزنید رعایت برید دنبال دکتر خلوت بگردید اومیکرون	train	health
یادتون میاد گفته_بودم اردر وال سایت تریدینگ لایت صرافی بیتفینکس سایت اسمش دیتای سایت بذاریدحساب کار وال میاد دستتونبیتکوین ارزدیجیتال بایننس کریپتو	train	tech
طبیعیه سویه کرونا عایا ؟؟ سازمان بهداشت جهانی منو کشف پادزهرم	train	health
کمینا بورس رشتو لیست دارایی شیشه مینا دقت ایتم زمین کارخانه تهران سند ششدانگ توجه فرمایید متر مربع	train	economics
اهمیت تجربه بصری غنی نتایج جستجو گوگل محتوانویسان توصیه صحت تجربیات کاربران تصویر صوت منابع مالتی مدیا بهره ببرند سیو محتوا اسنیپت ریچ بصری تبدیل فناوری نتایج جستجو خواندنی دیدنی	train	tech
سازمان بهداشت جهانی خطر اومیکرون دلیل اثربخشی ضعیف واکسن کورونا مقابله هشدار	train	health
بازار سرمایه گل نشست سرمایه اجتماعی بورس اقتصاد دولت مجلس_شورای_اسلامی	train	economics
قضیه محل نشستن اتوبوس جدیه اخرین سوار ار تی یادمه سوتفاهم نفر‌جلویی جام تکون نمیخوردم تهران	train	transport
السلام علیک ایها المدخر لتجدید الفرایض السنن رگ خشک احکام گرم حضور جان سلام گنج ودیعه خزاین سلام روزی یمن جاری احکام خدا درخت شادی انسان شکوفه خواهد_زد اللهم_عجل_لولیک_الفرج	train	religion
بلند نشوید واکسن نزده استرالیا قفس عا نه_به_واکسن_اجباری	train	health
سلام_منجی_دلها چشم هامان سبد نور خدا می‌خواهند بهر دیدار خدا مهر صفا می‌خواهند ی‌ لام ‌یابن‌الحسن‌در جهان‌ دیدن‌ روی‌ راروی‌تو‌رامی‌خواهند اللهم_عجل_لولیک_الفرج	train	religion
پیشنهاد_فیلم طبق معمول فیلمای موفق ایرانی درد رنج بدبختی فیلم جذابیت هاش لهجه دلنشین شیرازیه ادم کیف میکنه بازی امیر جدیدی جون جوناتون اضافه میکنه ماجرای زندانی مالیه کیف سکه میکنه	train	art
سلام دوستان نظر سنجی بنظرتون چطوری پولی سرمایه ؟؟؟ دوس پولم بانک !!	train	economics
ستاره می‌شمرم شب زاید حافظ شیفت_شب	train	art
ترک‌های عظیم کوهستان جاده هراز فعالیت‌های معدنی محیط_زیست دستخوش تغییر کرده_است احتمال فاجعه انسانی جاده سقوط کوه منطقه	train	ecology
اب ارزش موقع پمپاژ رفتم منبع حد ریز نرسه لیتر هدر نره عوض ازین ویو منظره کیفور	train	ecology
رشیدمظاهری بدجور دچار دردسرومشکلاتی پیرامونش اجرلو مدیریت باشگاه بتونه کمکش درمسیر قراربگیره حیف دروازه بان کیفیت فنی دچار مشکلاتی اینچنینی رشیدمظاهری استقلال	train	sport
غم دل مولا علی السلام اللهم_عجل_لولیک_الفرج	train	religion
اب مایه حیات مایه حیات مهمتر نفت معادن هزاران وابسته اب حکومت ایران مسیله ابی توجهی خاصی سوال بیدار مصرف بهینه اب	train	ecology
بخوام بگم قهوه سرم حرفه اساسی قهوه خورم منو عشق قهوه میشناسن قهوه جزو قهوه عمرم تست اقا کاظم کارتم درجه	train	lifestyle
محدوده سفارشات فروش خوبی کانفرم ترید بشه دوستانی اسپات کار حواسشون بیتکوین کریپتو دلار ارزدیجیتال	train	economics
دوج کوین پایین سطح قیمت ماه کریپتالین دوجکوین بیتکوین	train	tech
نمی‌دونستم اشپزی اقایون جذابیت ایجاد می‌کنه اینترن سالاد الویه اورد فی المجلس خواستگار	train	lifestyle
چشم رضا مرحمت می‌کنی بخت رسد ناز می‌کنی سعدی	train	art
وسعت کرمت نوری بتاب هایم خدا	train	religion
عاشق غذاهای فرانسوی پیشنهاد رستوران مدرن فرانسوی رستوران خیابان یانگ واقع ایستگاه ایستگاه متروی دقیقه پیاده فاصله	train	lifestyle
سال اومده کیسه قهرمان پرسپولیس سجادی_کیسه_کش	train	sport
سلام امید مقتدای مستضعفین کوخ نشینان سلام کاهگل نشین جماران سلام امام شهداا	train	religion
باغ شیشه استند گل چوب شیشه چوب نراد روسی گل رشد طبیعی نگهداری اسان گلها قیمت تومان ثبت سفارش خاص خریدانلاین پرداخت_درب_منزل ارسال_رایگان همدان تلگرام همدان	train	lifestyle
اختلاف تصویر روزه بارونی بارون هوا بارونیه ماشین میاد گوش ببرید اسنپ	train	transport
دوستان شب عادت کرده_اند خواب غزلی توییت بخوابند نوبت دوستان دختر رز توبه مستوری محتسب کار دستوری غزلیات حافظ	train	art
ماه اومدن کرونا خانم شرکت ثبت میکنن مدیونید ربطی دارو واکسم نه_به_واکسن_اجباری	train	health
اره میزبانی‌های پرسپولیس تموم ورود تماشاگرا ازاد می‌گن بیید شیریط بیریبر میسابیقه بیدیم	train	sport
مصدوم زلزله شهرکرد خالدی سخنگوی اورژانس کشور نفر شهرکرد ترس زمین‌لرزه حین فرار مصدوم شبکه خبر صبح زمین لرزه‌ای بزرگری ریشتر شهر چلگرد مرز استان‌های خوزستان چهارمحال بختیاری رخ	train	ecology
